drug_id,rna_id,drug_name,rna_name,label
52,321,5-Fluorouracil,miR-33a*,1
111,505,10-hydroxycamptothecin,miR-532,0
40,28,Dexamethasone,linc-VLDLR,0
76,459,Platinum,miR-491,0
50,55,PLX4720,miR-10b,0
0,27,Cisplatin,XLOC_006753,1
53,411,Daunorubicin,miR-450a,0
93,612,intensive induction chemotherapy based on cytarabine and idarubicine,miR-940,0
3,104,Imatinib,miR-132,1
7,55,Tamoxifen,miR-10b,1
49,439,Capecitabine,miR-4713,0
34,14,Sorafenib,Lnc-VLDLR,1
29,153,Verapamil,miR-181a,1
16,43,Docetaxel,miR-100-5p,0
9,530,Fluorouracil,miR-590-5p,0
8,74,Trastuzumab,miR-125b,1
39,595,Taxol,miR-885,0
95,561,SIOP treatment protocol,miR-658,0
63,284,Cyclosporin A,miR-30c,0
50,151,PLX4720,miR-17-92,0
108,546,Tomudex,miR-625*,0
48,52,Epirubicin,miR-10a,0
23,151,Sirolimus,miR-17-92,1
85,253,Pertuzumab,miR-25*,0
1,130,Gemcitabine,miR-146b,1
49,324,Capecitabine,miR-342,0
34,109,Sorafenib,miR-135a,1
10,175,Paclitaxel,miR-1908,1
0,208,Cisplatin,miR-200c,1
29,608,Verapamil,miR-93,1
26,135,Bortezomib,miR-149*,1
79,484,Ribavirin,miR-518c,0
88,148,Selumetinib,miR-17,1
57,203,FOLFOX Chemotherapy,miR-19b,1
116,422,5-fluorouracil,miR-455-3p,0
29,121,Verapamil,miR-142,1
5,511,Doxorubicin,miR-548a,1
39,479,Taxol,miR-515,0
45,153,Camptothecin,miR-181a,1
0,37,Cisplatin,let-7f,1
52,63,5-Fluorouracil,miR-1229-5p,0
29,558,Verapamil,miR-652,1
10,155,Paclitaxel,miR-181b,1
59,190,Vemurafenib,miR-196a-5p,0
55,277,Prednisolone,miR-302c,0
95,577,SIOP treatment protocol,miR-718,0
77,139,Levetiracetam,miR-153,0
5,280,Doxorubicin,miR-30a,1
24,325,Temsirolimus,miR-345,0
10,223,Paclitaxel,miR-210,1
1,244,Gemcitabine,miR-222*,1
50,394,PLX4720,miR-4428,0
84,346,Mitomycin C,miR-3687,0
7,51,Tamoxifen,miR-107,1
38,158,Cetuximab,miR-182,1
17,103,Adriamycin,miR-130b,1
59,61,Vemurafenib,miR-1228,0
90,560,Topotecan,miR-655,0
44,408,PCI-24781,miR-4497,0
5,593,Doxorubicin,miR-876,1
4,155,Nilotinib,miR-181b,0
55,317,Prednisolone,miR-335,1
115,255,modified ALLIC BFM 2002 protocol,miR-26a-MM1,0
75,615,Sunitinib,miR-96-5p,0
7,455,Tamoxifen,miR-486,0
5,599,Doxorubicin,miR-892b,1
14,187,Carboplatin,miR-194,1
18,263,Vincristine,miR-296,1
90,111,Topotecan,miR-136,0
9,604,Fluorouracil,miR-92a,0
52,134,5-Fluorouracil,miR-149,1
3,126,Imatinib,miR-145,0
79,170,Ribavirin,miR-18a,1
0,154,Cisplatin,miR-181a*,1
3,227,Imatinib,miR-214,1
90,360,Topotecan,miR-378a,0
75,334,Sunitinib,miR-362,1
20,180,Mitoxantrone,miR-1915,0
63,51,Cyclosporin A,miR-107,0
8,158,Trastuzumab,miR-182,1
5,239,Doxorubicin,miR-22-3p,0
87,494,Irinotecan,miR-520,0
35,285,Melphalan,miR-30d,0
5,325,Doxorubicin,miR-345,1
73,435,Exemestane,miR-4695,0
86,106,Arsenic trioxide,miR-133b,0
13,96,Oxaliplatin,miR-1293,1
57,558,FOLFOX Chemotherapy,miR-652,1
57,121,FOLFOX Chemotherapy,miR-142,1
5,455,Doxorubicin,miR-486,1
7,77,Tamoxifen,miR-126*,0
21,24,Nutlin-3a,TUG1,0
73,268,Exemestane,miR-29b,0
48,531,Epirubicin,miR-591,0
63,373,Cyclosporin A,miR-409,0
96,102,Epirubicin hydrochloride,miR-130a-3p,0
6,254,Gefitinib,miR-26a,1
117,248,Hydroxyurea,miR-23a,0
0,341,Cisplatin,miR-3653,1
29,550,Verapamil,miR-633,1
29,157,Verapamil,miR-181d,1
97,297,Fulvestrant,miR-3173,0
5,115,Doxorubicin,miR-139,1
75,319,Sunitinib,miR-339,0
1,387,Gemcitabine,miR-4279,1
85,203,Pertuzumab,miR-19b,0
64,246,Vinorelbine,miR-224,0
9,6,Fluorouracil,GAS5,1
