drug_id,rna_id,drug_name,rna_name,label
29,583,Verapamil,miR-765,1
24,617,Temsirolimus,miR-99a,0
57,47,FOLFOX Chemotherapy,miR-106a,1
84,276,Mitomycin C,miR-302b,0
0,608,Cisplatin,miR-93,1
18,133,Vincristine,miR-148b,1
10,103,Paclitaxel,miR-130b,1
71,186,Cytarabine,miR-193b*,0
52,62,5-Fluorouracil,miR-1228*,1
4,512,Nilotinib,miR-550,0
1,238,Gemcitabine,miR-22*,1
44,77,PCI-24781,miR-126*,0
89,419,Staurosporine,miR-4535,0
1,187,Gemcitabine,miR-194,1
13,268,Oxaliplatin,miR-29b,1
52,51,5-Fluorouracil,miR-107,1
50,458,PLX4720,miR-490,1
1,569,Gemcitabine,miR-675*,1
19,173,Etoposide,miR-19,1
1,582,Gemcitabine,miR-762,1
66,501,Paroxetine,miR-520h,0
76,469,Platinum,miR-501-5P,0
77,431,Levetiracetam,miR-468,1
76,552,Platinum,miR-639,0
9,88,Fluorouracil,miR-128-2,1
1,568,Gemcitabine,miR-675,1
5,256,Doxorubicin,miR-26b,1
13,59,Oxaliplatin,miR-122,1
6,43,Gefitinib,miR-100-5p,0
0,475,Cisplatin,miR-5096,1
101,89,Arsenic Trioxide,miR-1280,0
1,125,Gemcitabine,miR-144-3p,0
96,22,Epirubicin hydrochloride,SLC25A25-AS1,0
75,125,Sunitinib,miR-144-3p,1
50,614,PLX4720,miR-96,1
9,126,Fluorouracil,miR-145,1
82,129,Cyclopamine,miR-146a,1
84,514,Mitomycin C,miR-560,0
7,217,Tamoxifen,miR-20a-5p,0
73,137,Exemestane,miR-151,0
82,248,Cyclopamine,miR-23a,0
50,108,PLX4720,miR-1343,0
2,62,Dasatinib,miR-1228*,0
5,132,Doxorubicin,miR-148a,1
52,371,5-Fluorouracil,miR-3940,1
0,206,Cisplatin,miR-200a,1
29,146,Verapamil,miR-15b*,1
29,376,Verapamil,miR-412,1
45,124,Camptothecin,miR-144,0
16,479,Docetaxel,miR-515,0
26,327,Bortezomib,miR-34a,0
52,282,5-Fluorouracil,miR-30b,1
10,223,Paclitaxel,miR-210,1
8,6,Trastuzumab,GAS5,1
29,536,Verapamil,miR-601,1
19,252,Etoposide,miR-25,0
9,310,Fluorouracil,miR-320a,1
7,272,Tamoxifen,miR-300,1
59,266,Vemurafenib,miR-29a,0
14,260,Carboplatin,miR-27b ,1
5,332,Doxorubicin,miR-361,1
20,509,Mitoxantrone,miR-543,0
5,478,Doxorubicin,miR-514,1
65,423,Prednisone,miR-4638,0
2,89,Dasatinib,miR-1280,0
52,270,5-Fluorouracil,miR-29b-2*,1
64,538,Vinorelbine,miR-606,0
38,473,Cetuximab,miR-506,0
42,116,Erlotinib,miR-140,1
5,206,Doxorubicin,miR-200a,1
17,35,Adriamycin,let-7d,0
31,76,Chemotherapy,miR-126,0
86,553,Arsenic trioxide,miR-640,0
5,562,Doxorubicin,miR-660,1
91,241,Fludarabine,miR-221,1
17,453,Adriamycin,miR-483,1
13,98,Oxaliplatin,miR-1299,1
107,47,Raltitrexed,miR-106a,0
108,88,Tomudex,miR-128-2,0
65,167,Prednisone,miR-187,1
13,66,Oxaliplatin,miR-1236,1
1,450,Gemcitabine,miR-4758,1
90,594,Topotecan,miR-877,0
57,74,FOLFOX Chemotherapy,miR-125b,1
1,4,Gemcitabine,CRNDE,0
50,220,PLX4720,miR-21,1
1,122,Gemcitabine,miR-143,1
5,480,Doxorubicin,miR-517a,1
5,62,Doxorubicin,miR-1228*,1
52,495,5-Fluorouracil,miR-520a,1
99,566,Euthyrox,miR-665,0
29,129,Verapamil,miR-146a,1
74,92,Letrozole,miR-128a,1
16,134,Docetaxel,miR-149,1
37,74,Temozolomide,miR-125b,1
