RNA,Drug,Source
UCA1,Sirolimus,Curated_Only
XIST,Crizotinib,Curated_Only
TUG1,Etoposide,Curated_Only
TUG1,Doxorubicin,Curated_Only
XIST,Oxaliplatin,Curated_Only
H19,Erlotinib,Curated_Only
SNHG5,Doxorubicin,Curated_Only
XIST,Mitomycin C,Curated_Only
BCAR4,Paclitaxel,Curated_Only
HOTAIR,Cetuximab,Curated_Only
NEAT1,Gefitinib,Curated_Only
MALAT1,Oxaliplatin,Curated_Only
HOTAIR,Sorafenib,Curated_Only
UCA1,Gefitinib,Curated_Only
HOTAIR,Imatinib,Curated_Only
HOTAIR,Fluorouracil,Curated_Only
NEAT1,Sorafenib,Curated_Only
NEAT1,Docetaxel,Curated_Only
MALAT1,Sorafenib,Curated_Only
ANRIL,Oxaliplatin,Curated_Only
NEAT1,Gemcitabine,Curated_Only
ANRIL,Doxorubicin,Curated_Only
MALAT1,Imatinib,Curated_Only
HOTAIR,Temozolomide,Curated_Only
NEAT1,Fluorouracil,Curated_Only
CUDR,Gemcitabine,Curated_Only
HOTAIR,Taxol,Curated_Only
LUCAT1,Camptothecin,Curated_Only
CRNDE,Oxaliplatin,Curated_Only
CRNDE,Doxorubicin,Curated_Only
MALAT1,Cytarabine,Curated_Only
NEAT1,Temozolomide,Curated_Only
HOTAIR,Sunitinib,Curated_Only
LUCAT1,Oxaliplatin,Curated_Only
ANRIL,Bortezomib,Curated_Only
NEAT1,Tamoxifen,Curated_Only
MALAT1,Sunitinib,Curated_Only
HOTAIR,Vincristine,Curated_Only
H19,Gefitinib,Curated_Only
HOTAIR,Paclitaxel,Curated_Only
HOTAIR,Trastuzumab,Curated_Only
GIHCG,Lapatinib,Curated_Only
GAS5,Platinum,Curated_Only
MALAT1,Vincristine,Curated_Only
LUCAT1,Fluorouracil,Curated_Only
UCA1,Carboplatin,Curated_Only
PVT1,Cetuximab,Curated_Only
TUG1,Fluorouracil,Curated_Only
HOTAIR,Crizotinib,Curated_Only
UCA1,Daunorubicin,Curated_Only
XIST,Fluorouracil,Curated_Only
H19,Sorafenib,Curated_Only
UCA1,Vincristine,Curated_Only
TUG1,Cytarabine,Curated_Only
HOTAIR,Dexamethasone,Curated_Only
H19,Imatinib,Curated_Only
UCA1,Trastuzumab,Curated_Only
H19,Fluorouracil,Curated_Only
HULC,Cisplatin,Curated_Only
XIST,Temozolomide,Curated_Only
LINP1,Tamoxifen,Curated_Only
HOTAIR,Mitomycin C,Curated_Only
NEAT1,Dexamethasone,Curated_Only
NEAT1,Oxaliplatin,Curated_Only
CCAT1,Fluorouracil,Curated_Only
NEAT1,Doxorubicin,Curated_Only
H19,Temozolomide,Curated_Only
MALAT1,Doxorubicin,Curated_Only
TUG1,Tamoxifen,Curated_Only
MALAT1,Mitomycin C,Curated_Only
GAS5,Gemcitabine,Curated_Only
CRNDE,Paclitaxel,Curated_Only
ROR1-AS1,Gemcitabine,Curated_Only
H19,Fulvestrant,Curated_Only
ANRIL,Gemcitabine,Curated_Only
UCA1,Oxaliplatin,Curated_Only
UCA1,Etoposide,Curated_Only
UCA1,Doxorubicin,Curated_Only
H19,Tamoxifen,Curated_Only
MEG3,Paclitaxel,Curated_Only
CRNDE,Sorafenib,Curated_Only
CRNDE,Gemcitabine,Curated_Only
TUG1,Methotrexate,Curated_Only
TUG1,Paclitaxel,Curated_Only
HULC,Paclitaxel,Curated_Only
NEAT1,Bortezomib,Curated_Only
MALAT1,Bortezomib,Curated_Only
XIST,Vincristine,Curated_Only
MEG3,Crizotinib,Curated_Only
LINP1,Gemcitabine,Curated_Only
CRNDE,Temozolomide,Curated_Only
HOTAIR,Platinum,Curated_Only
HULC,Imatinib,Curated_Only
LUCAT1,Doxorubicin,Curated_Only
