drug_id,rna_id,drug_name,rna_name,label
29,513,Verapamil,miR-555,1
18,166,Vincristine,miR-186*,1
10,390,Paclitaxel,miR-4288,1
16,214,Docetaxel,miR-205,1
13,329,Oxaliplatin,miR-34b,1
17,241,Adriamycin,miR-221,1
1,145,Gemcitabine,miR-15b,1
19,233,Etoposide,miR-217,1
52,69,5-Fluorouracil,miR-1246,1
5,540,Doxorubicin,miR-613,1
5,525,Doxorubicin,miR-586,1
5,81,Doxorubicin,miR-1265,1
17,9,Adriamycin,HOTAIR,1
13,72,Oxaliplatin,miR-1258,1
13,531,Oxaliplatin,miR-591,1
75,327,Sunitinib,miR-34a,1
51,115,platinum-based doublet chemotherapy ,miR-139,1
57,185,FOLFOX Chemotherapy,miR-193b,1
1,141,Gemcitabine,miR-155,1
31,241,Chemotherapy,miR-221,1
1,408,Gemcitabine,miR-4497,1
5,495,Doxorubicin,miR-520a,1
7,382,Tamoxifen,miR-425,1
1,175,Gemcitabine,miR-1908,1
52,195,5-Fluorouracil,miR-1976,1
16,564,Docetaxel,miR-663,1
0,499,Cisplatin,miR-520d*,1
26,75,Bortezomib,miR-125b-5p,1
10,107,Paclitaxel,miR-134,1
112,243,AGRO100,miR-222,1
52,493,5-Fluorouracil,miR-519e*,1
5,474,Doxorubicin,miR-509,1
16,329,Docetaxel,miR-34b,1
5,470,Doxorubicin,miR-502,1
16,181,Docetaxel,miR-192,1
16,155,Docetaxel,miR-181b,1
5,328,Doxorubicin,miR-34a-5p,1
5,610,Doxorubicin,miR-935,1
5,286,Doxorubicin,miR-30d*,1
63,50,Cyclosporin A,miR-106~25,1
0,40,Cisplatin,let-7i,1
34,59,Sorafenib,miR-122,1
52,526,5-Fluorouracil,miR-587,1
0,254,Cisplatin,miR-26a,1
0,256,Cisplatin,miR-26b,1
29,121,Verapamil,miR-142,1
8,245,Trastuzumab,miR-223,1
16,319,Docetaxel,miR-339,1
26,8,Bortezomib,H19,1
46,258,Vinblastine,miR-27a,1
5,507,Doxorubicin,miR-541*,1
1,243,Gemcitabine,miR-222,1
31,104,Chemotherapy,miR-132,1
1,212,Gemcitabine,miR-204,1
1,299,Gemcitabine,miR-3178,1
5,48,Doxorubicin,miR-106b,1
52,430,5-Fluorouracil,miR-4675,1
5,317,Doxorubicin,miR-335,1
51,327,platinum-based doublet chemotherapy ,miR-34a,1
0,617,Cisplatin,miR-99a,1
14,237,Carboplatin,miR-22,1
29,255,Verapamil,miR-26a-MM1,1
5,516,Doxorubicin,miR-568,1
66,455,Paroxetine,miR-486,1
7,494,Tamoxifen,miR-520,1
1,388,Gemcitabine,miR-4284,1
9,27,Fluorouracil,XLOC_006753,1
10,181,Paclitaxel,miR-192,1
5,503,Doxorubicin,miR-523,1
13,575,Oxaliplatin,miR-7-5p,1
106,220,Pingyangmycin,miR-21,1
5,253,Doxorubicin,miR-25*,1
1,508,Gemcitabine,miR-542,1
7,353,Tamoxifen,miR-374a,1
67,133,Cyclophosphamide,miR-148b,1
13,350,Oxaliplatin,miR-372,1
29,319,Verapamil,miR-339,1
11,0,Propofol,ANRIL,1
94,183,Epirubicin HCl,miR-193a,1
1,65,Gemcitabine,miR-1234,1
71,76,Cytarabine,miR-126,1
5,252,Doxorubicin,miR-25,1
52,495,5-Fluorouracil,miR-520a,1
5,469,Doxorubicin,miR-501-5P,1
5,614,Doxorubicin,miR-96,1
57,319,FOLFOX Chemotherapy,miR-339,1
66,470,Paroxetine,miR-502,1
1,339,Gemcitabine,miR-365,1
1,595,Gemcitabine,miR-885,1
19,151,Etoposide,miR-17-92,1
50,331,PLX4720,miR-3607,1
5,174,Doxorubicin,miR-190,1
1,167,Gemcitabine,miR-187,1
52,298,5-Fluorouracil,miR-3177,1
1,237,Gemcitabine,miR-22,1
38,586,Cetuximab,miR-768,1
27,134,Methotrexate,miR-149,1
27,542,Methotrexate,miR-615,1
9,69,Fluorouracil,miR-1246,1
10,101,Paclitaxel,miR-130a,1
18,131,Vincristine,miR-146b-5p,1
1,424,Gemcitabine,miR-4640,1
67,75,Cyclophosphamide,miR-125b-5p,1
7,73,Tamoxifen,miR-125a,1
0,135,Cisplatin,miR-149*,1
50,562,PLX4720,miR-660,1
66,465,Paroxetine,miR-500,1
75,613,Sunitinib,miR-942,1
10,292,Paclitaxel,miR-3127,1
23,44,Sirolimus,miR-101,1
29,271,Verapamil,miR-29c,1
17,266,Adriamycin,miR-29a,1
7,491,Tamoxifen,miR-519c,1
5,528,Doxorubicin,miR-589*,1
5,159,Doxorubicin,miR-182*,1
46,412,Vinblastine,miR-451,1
29,144,Verapamil,miR-15a*,1
0,153,Cisplatin,miR-181a,1
5,494,Doxorubicin,miR-520,1
1,399,Gemcitabine,miR-4466,1
5,307,Doxorubicin,miR-32,1
18,93,Vincristine,miR-129,1
7,409,Tamoxifen,miR-449a,1
1,397,Gemcitabine,miR-4463,1
38,171,Cetuximab,miR-18a*,1
1,385,Gemcitabine,miR-4258,1
52,365,5-Fluorouracil,miR-378g,1
10,564,Paclitaxel,miR-663,1
0,142,Cisplatin,miR-155-5p,1
29,514,Verapamil,miR-560,1
1,467,Gemcitabine,miR-500b,1
0,316,Cisplatin,miR-331,1
14,187,Carboplatin,miR-194,1
52,203,5-Fluorouracil,miR-19b,1
52,223,5-Fluorouracil,miR-210,1
10,587,Paclitaxel,miR-769,1
0,43,Cisplatin,miR-100-5p,1
52,160,5-Fluorouracil,miR-1825,1
57,313,FOLFOX Chemotherapy,miR-324,1
66,545,Paroxetine,miR-625,1
0,37,Cisplatin,let-7f,1
29,220,Verapamil,miR-21,1
9,570,Fluorouracil,miR-6825-5p,1
14,2,Carboplatin,CASC11,1
1,344,Gemcitabine,miR-3676,1
0,272,Cisplatin,miR-300,1
0,0,Cisplatin,ANRIL,1
3,147,Imatinib,miR-16,1
29,593,Verapamil,miR-876,1
0,125,Cisplatin,miR-144-3p,1
10,227,Paclitaxel,miR-214,1
52,385,5-Fluorouracil,miR-4258,1
0,88,Cisplatin,miR-128-2,1
1,61,Gemcitabine,miR-1228,1
29,459,Verapamil,miR-491,1
46,29,Vinblastine,Let-7,1
52,591,5-Fluorouracil,miR-874,1
1,204,Gemcitabine,miR-19b-1*,1
9,20,Fluorouracil,PVT1,1
52,417,5-Fluorouracil,miR-4530,1
1,448,Gemcitabine,miR-4749,1
0,619,Cisplatin,miR-99b,1
52,180,5-Fluorouracil,miR-1915,1
29,321,Verapamil,miR-33a*,1
5,557,Doxorubicin,miR-651,1
3,51,Imatinib,miR-107,1
56,350,10-Hydroxycamptothecin,miR-372,1
34,129,Sorafenib,miR-146a,1
52,366,5-Fluorouracil,miR-378i,1
10,273,Paclitaxel,miR-301a,1
13,312,Oxaliplatin,miR-320d,1
27,246,Methotrexate,miR-224,1
0,5,Cisplatin,CUDR,1
10,586,Paclitaxel,miR-768,1
55,74,Prednisolone,miR-125b,1
9,16,Fluorouracil,MALAT1,1
3,227,Imatinib,miR-214,1
1,60,Gemcitabine,miR-1226,1
52,350,5-Fluorouracil,miR-372,1
52,204,5-Fluorouracil,miR-19b-1*,1
52,208,5-Fluorouracil,miR-200c,1
10,30,Paclitaxel,Let-7a,1
37,223,Temozolomide,miR-210,1
5,538,Doxorubicin,miR-606,1
32,220,TRAIL therapy,miR-21,1
0,104,Cisplatin,miR-132,1
117,412,Hydroxyurea,miR-451,1
67,167,Cyclophosphamide,miR-187,1
