rna_idx,drug_idx,label,split
0,9,1,train
0,10,1,train
1,12,1,train
3,10,1,train
3,16,1,train
4,9,1,train
5,9,1,train
6,5,1,train
6,8,1,train
6,9,1,train
6,16,1,train
6,20,1,train
6,21,1,train
6,22,1,train
6,24,1,train
7,9,1,train
8,5,1,train
8,8,1,train
8,10,1,train
8,18,1,train
8,19,1,train
8,25,1,train
8,26,1,train
8,28,1,train
8,29,1,train
9,1,1,train
9,5,1,train
9,6,1,train
9,19,1,train
9,31,1,train
9,32,1,train
10,9,1,train
10,28,1,train
11,5,1,train
11,9,1,train
14,5,1,train
14,34,1,train
15,9,1,train
16,6,1,train
16,9,1,train
16,10,1,train
16,36,1,train
16,37,1,train
17,1,1,train
18,5,1,train
18,18,1,train
19,10,1,train
19,18,1,train
19,39,1,train
20,1,1,train
20,5,1,train
20,9,1,train
20,10,1,train
21,40,1,train
21,41,1,train
22,5,1,train
22,9,1,train
23,3,1,train
24,1,1,train
25,1,1,train
25,3,1,train
25,9,1,train
25,10,1,train
25,22,1,train
25,38,1,train
25,43,1,train
26,5,1,train
26,44,1,train
27,9,1,train
29,39,1,train
29,46,1,train
30,5,1,train
30,9,1,train
30,10,1,train
30,47,1,train
31,10,1,train
32,1,1,train
32,3,1,train
32,5,1,train
32,10,1,train
32,47,1,train
32,49,1,train
32,50,1,train
32,51,1,train
33,6,1,train
33,50,1,train
33,51,1,train
33,52,1,train
34,5,1,train
34,18,1,train
34,50,1,train
34,52,1,train
34,54,1,train
34,55,1,train
36,3,1,train
36,5,1,train
36,50,1,train
36,52,1,train
37,3,1,train
37,5,1,train
38,1,1,train
38,38,1,train
38,52,1,train
39,5,1,train
39,52,1,train
39,57,1,train
40,1,1,train
40,3,1,train
40,5,1,train
40,52,1,train
40,57,1,train
41,18,1,train
41,51,1,train
41,58,1,train
42,1,1,train
42,5,1,train
42,10,1,train
42,16,1,train
42,18,1,train
42,19,1,train
42,32,1,train
42,34,1,train
42,50,1,train
42,54,1,train
42,55,1,train
42,59,1,train
45,3,1,train
45,52,1,train
46,16,1,train
47,1,1,train
47,5,1,train
47,9,1,train
47,10,1,train
47,18,1,train
47,52,1,train
47,57,1,train
48,5,1,train
48,10,1,train
48,34,1,train
48,52,1,train
49,10,1,train
49,19,1,train
49,62,1,train
49,63,1,train
50,10,1,train
50,19,1,train
50,62,1,train
50,63,1,train
52,1,1,train
52,3,1,train
52,5,1,train
52,37,1,train
52,57,1,train
54,5,1,train
55,1,1,train
55,6,1,train
55,9,1,train
55,31,1,train
55,52,1,train
55,57,1,train
56,6,1,train
57,1,1,train
57,26,1,train
57,52,1,train
58,18,1,train
58,26,1,train
59,5,1,train
59,9,1,train
59,26,1,train
59,34,1,train
59,52,1,train
59,57,1,train
60,1,1,train
60,52,1,train
62,1,1,train
62,5,1,train
62,52,1,train
63,9,1,train
64,5,1,train
64,31,1,train
66,1,1,train
66,5,1,train
66,18,1,train
66,52,1,train
66,65,1,train
67,1,1,train
67,52,1,train
68,5,1,train
68,33,1,train
68,66,1,train
69,1,1,train
69,5,1,train
69,9,1,train
69,10,1,train
69,16,1,train
69,18,1,train
69,26,1,train
69,52,1,train
70,1,1,train
70,18,1,train
71,5,1,train
71,18,1,train
71,65,1,train
73,1,1,train
73,3,1,train
73,5,1,train
73,16,1,train
73,38,1,train
74,1,1,train
74,5,1,train
74,6,1,train
74,8,1,train
74,9,1,train
74,10,1,train
74,18,1,train
74,19,1,train
74,26,1,train
74,31,1,train
74,32,1,train
74,37,1,train
74,40,1,train
74,52,1,train
74,54,1,train
74,55,1,train
74,57,1,train
74,59,1,train
74,67,1,train
74,68,1,train
74,69,1,train
75,5,1,train
75,18,1,train
75,26,1,train
75,65,1,train
75,67,1,train
75,70,1,train
76,1,1,train
76,5,1,train
76,18,1,train
76,54,1,train
76,55,1,train
77,18,1,train
77,34,1,train
77,38,1,train
77,54,1,train
77,55,1,train
78,1,1,train
78,52,1,train
79,1,1,train
79,52,1,train
80,10,1,train
81,5,1,train
81,10,1,train
82,1,1,train
82,10,1,train
82,52,1,train
83,5,1,train
83,6,1,train
84,5,1,train
84,18,1,train
86,5,1,train
86,10,1,train
87,5,1,train
87,19,1,train
87,50,1,train
88,5,1,train
88,9,1,train
88,52,1,train
89,1,1,train
89,52,1,train
90,1,1,train
90,52,1,train
91,1,1,train
91,52,1,train
92,3,1,train
92,72,1,train
92,74,1,train
93,5,1,train
93,18,1,train
93,19,1,train
93,26,1,train
93,52,1,train
94,1,1,train
98,5,1,train
99,52,1,train
101,1,1,train
101,5,1,train
101,6,1,train
101,10,1,train
101,34,1,train
101,52,1,train
102,1,1,train
103,1,1,train
103,3,1,train
103,10,1,train
103,34,1,train
103,52,1,train
104,3,1,train
104,5,1,train
104,6,1,train
104,10,1,train
104,31,1,train
104,37,1,train
104,50,1,train
105,5,1,train
105,10,1,train
106,5,1,train
106,10,1,train
106,57,1,train
108,1,1,train
108,52,1,train
109,5,1,train
109,6,1,train
109,10,1,train
109,19,1,train
109,34,1,train
110,3,1,train
110,5,1,train
110,9,1,train
110,10,1,train
110,42,1,train
111,34,1,train
113,1,1,train
113,5,1,train
113,6,1,train
113,37,1,train
113,52,1,train
114,5,1,train
114,18,1,train
114,65,1,train
116,1,1,train
116,3,1,train
116,5,1,train
116,6,1,train
116,10,1,train
116,29,1,train
116,31,1,train
116,42,1,train
116,52,1,train
117,5,1,train
117,10,1,train
118,5,1,train
118,10,1,train
118,16,1,train
118,29,1,train
118,52,1,train
119,5,1,train
119,29,1,train
121,1,1,train
121,5,1,train
121,29,1,train
121,57,1,train
121,77,1,train
121,78,1,train
124,51,1,train
124,57,1,train
124,81,1,train
126,5,1,train
126,6,1,train
126,9,1,train
126,16,1,train
126,18,1,train
126,29,1,train
126,52,1,train
126,79,1,train
126,80,1,train
128,1,1,train
128,26,1,train
128,52,1,train
130,1,1,train
130,3,1,train
130,5,1,train
130,10,1,train
130,16,1,train
130,18,1,train
130,29,1,train
130,34,1,train
130,84,1,train
131,5,1,train
131,18,1,train
131,84,1,train
132,5,1,train
132,6,1,train
132,29,1,train
132,57,1,train
134,1,1,train
134,5,1,train
134,9,1,train
134,10,1,train
134,16,1,train
134,52,1,train
135,26,1,train
137,1,1,train
137,3,1,train
137,5,1,train
137,16,1,train
137,29,1,train
138,1,1,train
138,5,1,train
138,16,1,train
138,31,1,train
138,38,1,train
139,5,1,train
139,29,1,train
140,5,1,train
140,29,1,train
141,1,1,train
141,5,1,train
141,10,1,train
141,18,1,train
141,19,1,train
141,29,1,train
141,50,1,train
141,52,1,train
141,82,1,train
144,5,1,train
144,29,1,train
145,1,1,train
145,3,1,train
145,10,1,train
145,32,1,train
145,52,1,train
148,1,1,train
148,5,1,train
148,10,1,train
148,16,1,train
148,19,1,train
148,31,1,train
148,37,1,train
148,39,1,train
148,52,1,train
148,82,1,train
148,87,1,train
148,88,1,train
149,1,1,train
149,5,1,train
149,38,1,train
149,52,1,train
150,6,1,train
150,9,1,train
150,10,1,train
150,42,1,train
150,87,1,train
152,6,1,train
153,5,1,train
153,6,1,train
153,10,1,train
153,16,1,train
153,18,1,train
153,20,1,train
153,29,1,train
153,31,1,train
153,34,1,train
153,45,1,train
153,52,1,train
153,57,1,train
153,84,1,train
153,91,1,train
153,92,1,train
153,93,1,train
154,1,1,train
154,5,1,train
154,29,1,train
154,52,1,train
155,1,1,train
155,5,1,train
155,10,1,train
155,16,1,train
155,34,1,train
156,1,1,train
156,3,1,train
156,5,1,train
156,9,1,train
156,10,1,train
156,29,1,train
156,51,1,train
157,1,1,train
157,5,1,train
157,16,1,train
157,18,1,train
157,29,1,train
157,52,1,train
157,84,1,train
158,5,1,train
158,8,1,train
158,9,1,train
158,10,1,train
158,33,1,train
158,38,1,train
160,1,1,train
160,52,1,train
161,1,1,train
162,5,1,train
163,5,1,train
163,19,1,train
165,5,1,train
165,29,1,train
165,51,1,train
166,5,1,train
166,18,1,train
166,84,1,train
167,1,1,train
167,5,1,train
167,10,1,train
167,18,1,train
167,65,1,train
167,67,1,train
168,1,1,train
168,52,1,train
172,1,1,train
172,3,1,train
172,5,1,train
172,52,1,train
173,10,1,train
173,19,1,train
173,20,1,train
174,5,1,train
174,29,1,train
175,1,1,train
175,5,1,train
175,10,1,train
175,18,1,train
175,26,1,train
175,52,1,train
175,84,1,train
176,1,1,train
176,5,1,train
176,16,1,train
176,52,1,train
177,5,1,train
177,18,1,train
177,65,1,train
178,1,1,train
178,52,1,train
180,1,1,train
180,5,1,train
180,18,1,train
180,26,1,train
180,52,1,train
180,84,1,train
181,5,1,train
181,10,1,train
181,16,1,train
181,34,1,train
181,50,1,train
181,57,1,train
182,5,1,train
182,29,1,train
184,9,1,train
184,10,1,train
184,16,1,train
184,28,1,train
184,64,1,train
185,3,1,train
185,5,1,train
185,10,1,train
185,16,1,train
185,34,1,train
185,52,1,train
185,57,1,train
185,82,1,train
187,1,1,train
187,5,1,train
