RNA,Drug,Source
H19,Etoposide,Both
H19,Doxorubicin,Both
PVT1,Paclitaxel,Both
UCA1,Cisplatin,Both
BCAR4,Tamoxifen,Both
CASC11,Tetraplatin,Both
LUCAT1,Cisplatin,Both
UCA1,Fluorouracil,Both
CASC11,Carboplatin,Both
NEAT1,Cisplatin,Both
HULC,Oxaliplatin,Both
ANRIL,Cisplatin,Both
UCA1,Tamoxifen,Both
UCA1,Paclitaxel,Both
ANRIL,Fluorouracil,Both
H19,Cisplatin,Both
HOTAIR,Doxorubicin,Both
CASC11,Oxaliplatin,Both
UCA1,Imatinib,Both
ANRIL,Paclitaxel,Both
H19,Trastuzumab,Both
H19,Bortezomib,Both
NEAT1,Paclitaxel,Both
MRUL,Vincristine,Both
LUCAT1,Methotrexate,Both
HOTAIR,Gemcitabine,Both
H19,Paclitaxel,Both
CCAT1,Docetaxel,Both
HOTAIR,Cisplatin,Both
H19,Methotrexate,Both
CUDR,Cisplatin,Both
XLOC_006753,Cisplatin,Both
MACC1-AS1,Fluorouracil,Both
CUDR,Fluorouracil,Both
MIR10A,Gemcitabine,Both
XLOC_006753,Fluorouracil,Both
TUG1,Gemcitabine,Both
CCAT1,Cisplatin,Both
MRUL,Doxorubicin,Both
CRNDE,Cisplatin,Both
GIHCG,Fluorouracil,Both
TUG1,Cisplatin,Both
MALAT1,Cisplatin,Both
H19,Oxaliplatin,Both
CRNDE,Fluorouracil,Both
MALAT1,Fluorouracil,Both
XIST,Doxorubicin,Both
NEAT1,Vincristine,Both
MEG3,Gemcitabine,Both
HOTAIR,Chemotherapy,Both
BCAR4,Antioestrogens,Both
MALAT1,Temozolomide,Both
HOTAIR,Carboplatin,Both
MALAT1,Paclitaxel,Both
MACC1-AS1,Oxaliplatin,Both
MEG3,Cisplatin,Both
PVT1,Doxorubicin,Both
H19,Vincristine,Both
LINP1,Doxorubicin,Both
CCAT1,Paclitaxel,Both
HOTAIR,Gefitinib,Both
H19,Verapamil,Both
NEAT1,Taxol,Both
XIST,Cisplatin,Both
PVT1,Gemcitabine,Both
GIHCG,Oxaliplatin,Both
CASC11,Cisplatin,Both
PVT1,Cisplatin,Both
SNHG5,Cisplatin,Both
LINP1,Fluorouracil,Both
PVT1,Fluorouracil,Both
UCA1,Gemcitabine,Both
MALAT1,Gefitinib,Both
